PACKAGE.sha256	1859	1788289753.4941189460
README.md	1881	1788289739.2923199920
TEST-MANIFEST.md	20069	1788289739.2944193860
agent-orgs/aorg-direct-agents-org/org-config.json	657	1788263030.1441835810
agent-orgs/aorg-direct-agents-org/org.md	196	1788263030.1432576210
agent-orgs/aorg-mixed-org/org-config.json	1112	1788263030.1421012430
agent-orgs/aorg-mixed-org/org.md	328	1788263030.1414872420
agent-teams/aorg-research-squad/team-config.json	983	1788263030.1394138210
agent-teams/aorg-research-squad/team.md	290	1788263030.1389135280
agent-teams/aorg-support-pair/team-config.json	654	1788263030.1405796150
agent-teams/aorg-support-pair/team.md	217	1788263030.1401702810
agents/aorg-analyst/agent-config.json	76	1788283747.9297057290
agents/aorg-analyst/agent.md	742	1788289749.4533026250
agents/aorg-concierge/agent-config.json	76	1788283747.9309352710
agents/aorg-concierge/agent.md	745	1788289749.4519367790
agents/aorg-lead/agent-config.json	76	1788283747.9592719980
agents/aorg-lead/agent.md	825	1788289749.4502920140
agents/aorg-verifier/agent-config.json	76	1788283747.9651877520
agents/aorg-verifier/agent.md	750	1788289749.4543188840
